Book Id,Title,type,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Added,Summary,Tags,Genres,Category,Text,Linked Data,Owned Copies
40104261,The Ethics of Ambiguity,book,Simone de Beauvoir,"Beauvoir, Simone de",,,,0,4.17,Open Road Media,Kindle Edition,164,2018,1947,1/18/2021,,,,,,,0
2802549,Fundamental Concepts of Algebra (Dover Books on Mathematics),book,Bruce E. Meserve,"Meserve, Bruce E.",,0486614700,9780486614700,0,4.1,Dover Publications,Paperback,320,1982,1982,9/19/2022,,,,,,,0
17861928,Contemporary Mathematics,book,Bruce E. Meserve,"Meserve, Bruce E.",,,,0,0,"Prentice-Hall, Inc.",Hardcover,550,1972,1972,9/19/2022,,,,,,,0
2802550,Fundamental Concepts of Geometry (Dover Books on Mathematics),book,Bruce E. Meserve,"Meserve, Bruce E.",,0486634159,9780486634159,0,3.44,Dover Publications,Paperback,336,2010,1983,9/19/2022,,,,,,,0
21567404,What Is It Like to Be a Bat?,book,Thomas Nagel,"Nagel, Thomas",,,,0,3.98,,,15,,1974,9/15/2022,,,,,,,0
30129732,Complexity: The Emerging Science at the Edge of Order and Chaos,book,M. Mitchell Waldrop,"Waldrop, M. Mitchell",,,,0,4.05,,Kindle Edition,384,2016,1992,9/3/2022,,,,,,,0
49455,Notes from Underground,book,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Donald Fanger, Larissa Volokhonsky, Richard Pevear",067973452X,9780679734529,0,4.18,Vintage Classics,Paperback,136,1994,1864,9/5/2022,,,,,,,0
5695,Demons,book,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Richard Pevear, Robert Belknap, Robert Maguire, Ronald Meyer, Larissa Volokhonsky",,,0,4.3,Vintage,Paperback,733,1995,1872,9/5/2022,,,,,,,0
2790733,The Structure of Evil: An Essay on the Unification of the Science of Man,book,Ernest Becker,"Becker, Ernest",,0029022908,9780029022900,0,4.14,Free Press,Paperback,452,1976,,8/19/2022,,,,,,,0
866754,Views into the Chinese Room: New Essays on Searle and Artificial Intelligence,book,John   Preston,"Preston, John",Mark Bishop,0199252777,9780199252770,5,4,Clarendon Press,Paperback,428,2002,2002,8/19/2022,,,,,,,0
172732,The Motorcycle Diaries: Notes on a Latin American Journey,book,Ernesto Che Guevara,"Guevara, Ernesto Che",Aleida Guevara March,1876175702,9781876175702,5,3.79,Ocean Press,Paperback,175,2003,1992,8/13/2022,,,,,,,0
61539,The Structure of Scientific Revolutions,book,Thomas S. Kuhn,"Kuhn, Thomas S.",,0226458083,9780226458083,0,4.03,University of Chicago Press,Paperback,226,1996,1962,8/7/2022,,,,,,,0
16685439,The Price of Inequality: How Today's Divided Society Endangers Our Future,book,Joseph E. Stiglitz,"Stiglitz, Joseph E.",,0393345068,9780393345063,5,4.02,W. W. Norton & Company,Paperback,523,2013,2012,6/30/2022,,,,,,,0
4064936,Books v. Cigarettes,book,George Orwell,"Orwell, George",,0141036613,9780141036618,0,3.84,Penguin,Mass Market Paperback,126,2008,1946,7/15/2022,,,,,,,0
90078,An Essay Concerning Human Understanding,book,John Locke,"Locke, John",,1406790273,9781406790276,0,3.86,Read Books,Paperback,355,2007,1690,6/30/2022,,,,,,,0
125777,The Feeling of What Happens: Body and Emotion in the Making of Consciousness,book,António Damásio,"Damásio, António",,0156010755,9780156010757,0,4.01,Harcourt,Paperback,386,2000,1999,6/30/2022,,,,,,,0
5175000,How Could Conscious Experiences Affect Brains?,book,Max Velmans,"Velmans, Max",,0907845398,9780907845393,0,3.5,Imprint Academic,Paperback,96,2002,2002,6/30/2022,,,,,,,0
583722,The Blackwell Companion to Consciousness,book,Max Velmans,"Velmans, Max",,1405120193,9781405120197,0,4.13,John Wiley & Sons,Hardcover,768,2007,2006,6/30/2022,,,,,,,0
